CXCR1低表达（现病史/既往史）	CXCR1低表达
腹部肿瘤史（既往史+手术史+现病史）	腹部肿瘤史
腹泻；（现病史）	腹泻
腹胀（首次病程）	腹胀
腹胀（现病史）	腹胀
高草酸饮食（现病史/既往史）	高草酸饮食
高动物蛋白饮食（现病史/既往史）	高动物蛋白饮食
高钙血症（既往史）	高钙血症
高甘油三酯血症（既往史）	高甘油三酯血症
高血压（现病史/既往史）	高血压
高盐饮食（现病史/既往史）	高盐饮食
宫颈刺激（首次病程）	宫颈刺激
宫内节育器使用(超过2年)（既往史）	宫内节育器使用(超过2年)
钩虫感染（既往史）	钩虫感染
黑便；（现病史）	黑便
环丙沙星、三硅酸镁、磺胺药物、氨苯蝶啶、茚地那韦、愈创甘油醚、麻黄碱、袢利尿剂（呋塞米）、碳酸酐酶抑制剂、泻药（开塞露）、阿昔洛韦、环利尿剂、乙酰唑胺、茶碱、糖皮质激素（泼尼松）、噻嗪、水杨酸、丙磺舒、别嘌呤醇服用史（既往史）	环丙沙星、三硅酸镁、磺胺药物、氨苯蝶啶、茚地那韦、愈创甘油醚、麻黄碱、袢利尿剂（呋塞米）、碳酸酐酶抑制剂、泻药（开塞露）、阿昔洛韦、环利尿剂、乙 酰唑胺、茶碱、糖皮质激素（泼尼松）、噻嗪、水杨酸、丙磺舒、别嘌呤醇服用史
黄疸；（现病史+体格检查+专科情况）	黄疸
昏迷（体格检查）	昏迷
畸胎瘤（现病史/既往史）	畸胎瘤
既往流产（包括人工流产）-婚育史	既往流产（包括人工流产）
既往生殖器感染（既往史）	既往生殖器感染
既往异位妊娠史（既往史+手术史+病史小结）	既往异位妊娠史
甲亢（现病史/既往史）	甲亢
减肥手术史	减肥手术史
绞痛（现病史）	绞痛
结节病（现病史/既往史）	结节病
禁食（现病史/既往史）	禁食
剧烈腹痛（现病史）	剧烈腹痛
可能触到囊肿（首次病程）	可能触到囊肿
克罗恩病（现病史/既往史）	克罗恩病
阑尾炎(既往史+手术史+现病史）	阑尾炎
阑尾炎家族史阳性（家族史）	阑尾炎家族史阳性
类固醇（既往史）	类固醇
卵巢旁囊肿（现病史/既往史）	卵巢旁囊肿
脉搏显著加快（体格检查）	脉搏显著加快
慢性肾病（现病史/既往史）	慢性肾病
美沙拉明、速尿、氯沙坦、6-巯基嘌呤或硫唑嘌呤、异烟肼、袢利尿剂和去羟肌苷使用史（既往史）	美沙拉明、速尿、氯沙坦、6-巯基嘌呤或硫唑嘌呤、异烟肼、袢利尿剂和去羟肌苷使用史
墨菲征Murphy征（体格检查）	墨菲征Murphy征
内镜逆行胰胆管造影、EUS与FNA、主动脉手术胰腺切除术史（手术史+既往史）	内镜逆行胰胆管造影、EUS与FNA、主动脉手术胰腺切除术史
年龄35岁及以上（年龄）	年龄35岁及以上
尿路感染史（现病史/既往史）	尿路感染史
尿石症（现病史/既往史）	尿石症
尿石症家族史（家族史）	尿石症家族史
排尿改变（现病史）	排尿改变
盆腔疼痛；（现病史）	盆腔疼痛
盆腔炎病史（现病史/既往史）	盆腔炎病史
憩室炎（既往史）	憩室炎
杀精剂接触史（既往史）	杀精剂接触史
疝气或疝气修复史（手术史+既往史）	疝气或疝气修复史
上腹痛；（现病史）	上腹痛
肾小管酸中毒（现病史/既往史）	肾小管酸中毒
肾脏叩击痛（首次病程）	肾脏叩击痛
失血性休克（体格检查）	失血性休克
输卵管积水（现病史/既往史）	输卵管积水
输卵管手术史（现病史+手术史+病史小结）	输卵管手术史
糖尿病（现病史/既往史）	糖尿病
体温升高（体格检查）	体温升高
停经（现病史）	停经
停止排便排气（现病史）	停止排便排气
痛风（现病史/既往史）	痛风
头晕；（现病史）	头晕
突然发作（现病史）	突然发作
胃泌素瘤（现病史/既往史）	胃泌素瘤
胃绕道手术史	胃绕道手术史
吸烟（个人史）	吸烟
下腹压痛（首次病程）	下腹压痛
消化道溃疡（现病史/既往史）	消化道溃疡病史
新的性伴侣（现病史/既往史）	新的性伴侣
酗酒（个人史）	酗酒
迅速波及全腹（腹痛）；（现病史）	迅速波及全腹
炎症性肠病病史（既往史）	炎症性肠病
厌食；（现病史）	厌食
仰卧加重，坐位缓解（现病史）	仰卧加重，坐位缓解
腰/侧腹痛（现病史）	腰/侧腹痛
胰腺肿瘤、囊肿病史（既往史）	胰腺肿瘤、囊肿
异物摄入史（既往史+现病史）	异物摄入史
阴道流血（现病史）	阴道流血
饮水较少（现病史/既往史）	饮水较少
右上腹痛（现病史）	右上腹痛
右下腹疼痛（现病史）	右下腹疼痛
原发性甲状旁腺功能亢进（现病史/既往史）	原发性甲状旁腺功能亢进
阵发性疼痛（现病史）	阵发性疼痛
中腹痛（现病史）	中腹痛
肿大胆囊（体格检查）	肿大胆囊
肿瘤化疗史（现病史/既往史/手术史）	肿瘤化疗史
重症监护室（应激性溃疡）（现病史/既往史）	重症监护室（应激性溃疡）
转移性右下腹疼痛（现病史）	转移性右下腹疼痛
子宫内膜异位症（既往史+手术史）	子宫内膜异位症
子宫压痛（首次病程）	子宫压痛
自身免疫性疾病（既往史）	自身免疫性疾病
坐立不安；（现病史）	坐立不安
